,label,STAT3,SMAD23,STAT6,SOCS1,TLR4,NFKB,STAT1,SOCS3,AP1,IL10,TNFA,TGFB,Fra1,HIF1A,ERK,IL4e,IL10e,TNFAe,TGFBe,IgG,A2a,IFNG,IFNB,IL1B,IL6e,MCSF,GMCSF,Hipoxia,GCGCR,difference
1,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1.219690791
2,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1.219690791
3,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1.219690791
4,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1.219690791
5,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1.219558843
6,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1.219558843
7,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1.219558843
8,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.219558843
9,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1.219558843
10,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.219558843
11,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1.219558843
12,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506664,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.219558843
13,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1.219690791
14,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1.219690791
15,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1.219690791
16,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219638613,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1.219690791
17,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506726,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1.219558905
